USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
alisha      5033  0.0  0.0 236596  6988 ?        Ssl  11:23   0:00 /usr/libexec/gvfsd-metadata
alisha      5039  0.0  0.1 267160 24880 ?        Sl   11:23   0:00 /usr/libexec/ibus-x11
alisha      5061  0.0  0.5 1021916 84804 ?       Sl   11:23   0:01 /usr/libexec/mutter-x11-frames
alisha      5278  0.0  0.0 303928  6304 ?        Ssl  11:23   0:00 /snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
alisha      5369  0.0  0.2 440500 36852 ?        Sl   11:23   0:00 /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
alisha      5447  2.7  3.7 51407828 598856 ?     SLl  11:23  20:14 /opt/google/chrome/chrome
alisha      5453  0.0  0.0   8436  1892 ?        S    11:23   0:00 cat
alisha      5454  0.0  0.0   8436  1888 ?        S    11:23   0:00 cat
alisha      5456  0.0  0.0 50354856 4024 ?       Sl   11:23   0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/alisha/.config/google-chrome/Crash Reports --metrics-dir=/home/alisha/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.4 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=145.0.7632.159 --initial-client-fd=5 --shared-client-connection
alisha      5458  0.0  0.0 50345620 3380 ?       Sl   11:23   0:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/alisha/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.4 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=145.0.7632.159 --initial-client-fd=4 --shared-client-connection
alisha      5464  0.0  0.3 51007444 62492 ?      S    11:23   0:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=5456 --enable-crash-reporter=eb3827c5-e47f-4b48-a0b7-f715216fc9ea, --change-stack-guard-on-fork=enable
alisha      5465  0.0  0.3 51007432 62292 ?      S    11:23   0:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=5456 --enable-crash-reporter=eb3827c5-e47f-4b48-a0b7-f715216fc9ea, --change-stack-guard-on-fork=enable
alisha      5467  0.0  0.1 51007456 18420 ?      S    11:23   0:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=5456 --enable-crash-reporter=eb3827c5-e47f-4b48-a0b7-f715216fc9ea, --change-stack-guard-on-fork=enable
alisha      5496  4.3  1.8 51648992 301304 ?     Sl   11:23  31:35 /opt/google/chrome/chrome --type=gpu-process --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=5456 --enable-crash-reporter=eb3827c5-e47f-4b48-a0b7-f715216fc9ea, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,9698585011072122610,13279318647454106514,262144 --field-trial-handle=3,i,5245692847324255825,236952606408602400,262144 --disable-features=EyeDropper --variations-seed-version=20260827-170054.508000-production --trace-process-track-uuid=3190708988185955192
